Denumire,Localitate,Judet,Adresa,Infiintare,Descriere_lunga,Descriere_scurta,Descriere_cladire,Istoric,URL,Director,Profil,SIRUTA,Latitudine,Longitudine,Categorie,LMI,ID
Muzeul Etnografic al Moldovei,Iași,Iași,Piața Ștefan cel Mare și Sfânt nr. 1,1943,"Muzeul Politehnic, asa cum era cunoscut publicului larg până la data de 3 august 1994, în semn de prețuire pentru valorile științei iesene, a adoptat titulatura de Muzeul Științei și Tehnicii “Ștefan Procopiu"", fiind situat la parterul Palatului Culturii, în aripa de est. Nucleul Muzeului s-a constituit încă din 1955, din inițiativa unui inimos grup de profesori și ingineri ieșeni, între care menționam pe acad. Cristofor Simionescu, ing. Marcel Itcovici și prof. univ. dr. Ioan Curievici, care s-au interesat îndeaproape de soarta Muzeului, căutând și depistând noi surse de îmbogățire a patrimoniului, de sporire a colecțiilor de mare valoare științifică și documentară. Prima secție a Muzeului a fost “Energetica"", deschisă la 1 martie 1961 și reorganizată în anul 1980. Ea prezintă astăzi publicului vizitator, principalele forme de energie utilizate de umanitate de-a lungul timpului și marchează prin panouri grafice și exponate originale contribuții de excepție ale unor personalități românești și mondiale la dezvoltarea domeniului energetic. Un moment important în evoluția Muzeului l-a constituit organizarea și deschiderea în februarie 1966 a secției “Inregistrarea și redarea sunetului"". Îmbogățirea colectiei, în anii ce au urmat, cu noi exponate valoroase, precum și interesul manifestat de vizitatori față de expozitia menționată sunt motivele care au condus la reorganizarea și extinderea acesteia într-un spațiu triplu, a cărui inaugurare a avut loc în 1972. Constituind o colecție unică în țară, secția de “Înregistrare și redare a sunetului"" prezintă în mod cronologic evoluția înregistrării și redării sunetului, de la cilindrul cu știfturi la banda magnetică. De-a lungul anilor, rod al eforturilor de investigație științifică depuse de colectivul de specialiști ai Muzeului, dar și de depistare și achiziționare de patrimoniu, s-au deschis noi secții muzeale precum: “Telecomunicații"" (1984), Muzeul Memorial ""Poni-Cernatescu"" (1991), “Mineralogie-Cristalografie"" (1997) și ""Computere"" (2004). Secția “Telecomunicatii"" prezintă publicului vizitator o serie de exponate originale ce ilustrează evoluția istorică a sistemelor de transmitere a informației la distanță, și este structurată tematic în patru sectoare: telegrafie, telefonie, radio, televiziune. Una din cele mai recente secții, “Mineralogie-Cristalografie"", adăpostește o inedită colecție de “flori de mina"", donată de dl. Constantin Gruescu, din Ocna de Fier (jud. Caraș-Severin) și care cuprinde 126 de eșantioane reprezentând minereuri polimetalice, oxizi și hidroxizi de fier (hematit, magnetit, lemonit), precum și varietăți de cuarț (de la cuarțul de stâncă la macla japoneză). Cea mai recentă secție este intitulată ""Computere"" și ilustrează, în principal, evoluția acestora pe parcursul celei de-a doua jumătăți a secolului al XX-lea. în afara de secțiile care structurează circuitul expozițional permanent, patrimoniul muzeal include alte câteva colecții inedite, valorificate prin expoziții temporare, precum: mașini de calcul, mașini de scris, aparate de fotografiat, instrumente de meteorologie, precum și o platformă cu exponate din sfera arheologiei industriale.","În sălile muzeului sunt prezentate ocupațiile tradiționale de bază: agricultura, viticultura, creșterea animalelor, precum și ocupațiile secundare ca: vânătoarea, pescuitul și creșterea albinelor. Colecția de instalații populare din lemn (pive și vâltori",,"Înființat inițial pe lângă Catedra de etnografie a Universității din Iași, de către Ion Chelcea. Majoritatea exponatelor sunt vechi, vârsta lor depășind, adesea, 100 de ani. Din anul 1954, muzeul este mutat în Palatul Culturii.",http://www.muzeul-moldova.ro; http://www.palatulculturii.ro,Lăcrămioara Stratulat,Etnografie,95079,47.157232,27.587905,Muzeu național,,412
Muzeul de Istorie a Moldovei,Iași,Iași,Piața Ștefan cel Mare și Sfânt nr. 1,1916,"Muzeul Politehnic, asa cum era cunoscut publicului larg până la data de 3 august 1994, în semn de prețuire pentru valorile științei iesene, a adoptat titulatura de Muzeul Științei și Tehnicii “Ștefan Procopiu"", fiind situat la parterul Palatului Culturii, în aripa de est. Nucleul Muzeului s-a constituit încă din 1955, din inițiativa unui inimos grup de profesori și ingineri ieșeni, între care menționam pe acad. Cristofor Simionescu, ing. Marcel Itcovici și prof. univ. dr. Ioan Curievici, care s-au interesat îndeaproape de soarta Muzeului, căutând și depistând noi surse de îmbogățire a patrimoniului, de sporire a colecțiilor de mare valoare științifică și documentară. Prima secție a Muzeului a fost “Energetica"", deschisă la 1 martie 1961 și reorganizată în anul 1980. Ea prezintă astăzi publicului vizitator, principalele forme de energie utilizate de umanitate de-a lungul timpului și marchează prin panouri grafice și exponate originale contribuții de excepție ale unor personalități românești și mondiale la dezvoltarea domeniului energetic. Un moment important în evoluția Muzeului l-a constituit organizarea și deschiderea în februarie 1966 a secției “Inregistrarea și redarea sunetului"". Îmbogățirea colectiei, în anii ce au urmat, cu noi exponate valoroase, precum și interesul manifestat de vizitatori față de expozitia menționată sunt motivele care au condus la reorganizarea și extinderea acesteia într-un spațiu triplu, a cărui inaugurare a avut loc în 1972. Constituind o colecție unică în țară, secția de “Înregistrare și redare a sunetului"" prezintă în mod cronologic evoluția înregistrării și redării sunetului, de la cilindrul cu știfturi la banda magnetică. De-a lungul anilor, rod al eforturilor de investigație științifică depuse de colectivul de specialiști ai Muzeului, dar și de depistare și achiziționare de patrimoniu, s-au deschis noi secții muzeale precum: “Telecomunicații"" (1984), Muzeul Memorial ""Poni-Cernatescu"" (1991), “Mineralogie-Cristalografie"" (1997) și ""Computere"" (2004). Secția “Telecomunicatii"" prezintă publicului vizitator o serie de exponate originale ce ilustrează evoluția istorică a sistemelor de transmitere a informației la distanță, și este structurată tematic în patru sectoare: telegrafie, telefonie, radio, televiziune. Una din cele mai recente secții, “Mineralogie-Cristalografie"", adăpostește o inedită colecție de “flori de mina"", donată de dl. Constantin Gruescu, din Ocna de Fier (jud. Caraș-Severin) și care cuprinde 126 de eșantioane reprezentând minereuri polimetalice, oxizi și hidroxizi de fier (hematit, magnetit, lemonit), precum și varietăți de cuarț (de la cuarțul de stâncă la macla japoneză). Cea mai recentă secție este intitulată ""Computere"" și ilustrează, în principal, evoluția acestora pe parcursul celei de-a doua jumătăți a secolului al XX-lea. în afara de secțiile care structurează circuitul expozițional permanent, patrimoniul muzeal include alte câteva colecții inedite, valorificate prin expoziții temporare, precum: mașini de calcul, mașini de scris, aparate de fotografiat, instrumente de meteorologie, precum și o platformă cu exponate din sfera arheologiei industriale.","Colecțiile includ: istorie și arheologie din epoca paleolitică: unelte, arme de silex, oase de animale de la Valea Lupului, Mitoc, Ripiceni, Ceahlău; neolitică: ceramică, unelte, figurine antropomorfe și zoomorfe (culturile Criș, Stoicani-Aldeni, Cucuten",,"Muzeul este situat la parterul Palatului Culturii și este continuatorul Muzeului de Antichități, înființat de Orest Tafrali, în 1916, pe lângă Universitatea ieșană. Secția de istorie veche are două filiale: muzeul de la Cucuteni și cetatea dacică de al C",http://www.muzeul-moldova.ro; http://www.palatulculturii.ro,Lăcrămioara Stratulat,"Arheologie daco-romană, Arheologie medievală, Arheologie preistorică, Istorie, Numismatică",95079,47.156883,27.586495,Muzeu național,,412
Complexul Muzeal Național „Moldova”,Iași,Iași,Piața Ștefan cel Mare și Sfânt nr. 1,1955,"Muzeul Politehnic, asa cum era cunoscut publicului larg până la data de 3 august 1994, în semn de prețuire pentru valorile științei iesene, a adoptat titulatura de Muzeul Științei și Tehnicii “Ștefan Procopiu"", fiind situat la parterul Palatului Culturii, în aripa de est. Nucleul Muzeului s-a constituit încă din 1955, din inițiativa unui inimos grup de profesori și ingineri ieșeni, între care menționam pe acad. Cristofor Simionescu, ing. Marcel Itcovici și prof. univ. dr. Ioan Curievici, care s-au interesat îndeaproape de soarta Muzeului, căutând și depistând noi surse de îmbogățire a patrimoniului, de sporire a colecțiilor de mare valoare științifică și documentară. Prima secție a Muzeului a fost “Energetica"", deschisă la 1 martie 1961 și reorganizată în anul 1980. Ea prezintă astăzi publicului vizitator, principalele forme de energie utilizate de umanitate de-a lungul timpului și marchează prin panouri grafice și exponate originale contribuții de excepție ale unor personalități românești și mondiale la dezvoltarea domeniului energetic. Un moment important în evoluția Muzeului l-a constituit organizarea și deschiderea în februarie 1966 a secției “Inregistrarea și redarea sunetului"". Îmbogățirea colectiei, în anii ce au urmat, cu noi exponate valoroase, precum și interesul manifestat de vizitatori față de expozitia menționată sunt motivele care au condus la reorganizarea și extinderea acesteia într-un spațiu triplu, a cărui inaugurare a avut loc în 1972. Constituind o colecție unică în țară, secția de “Înregistrare și redare a sunetului"" prezintă în mod cronologic evoluția înregistrării și redării sunetului, de la cilindrul cu știfturi la banda magnetică. De-a lungul anilor, rod al eforturilor de investigație științifică depuse de colectivul de specialiști ai Muzeului, dar și de depistare și achiziționare de patrimoniu, s-au deschis noi secții muzeale precum: “Telecomunicații"" (1984), Muzeul Memorial ""Poni-Cernatescu"" (1991), “Mineralogie-Cristalografie"" (1997) și ""Computere"" (2004). Secția “Telecomunicatii"" prezintă publicului vizitator o serie de exponate originale ce ilustrează evoluția istorică a sistemelor de transmitere a informației la distanță, și este structurată tematic în patru sectoare: telegrafie, telefonie, radio, televiziune. Una din cele mai recente secții, “Mineralogie-Cristalografie"", adăpostește o inedită colecție de “flori de mina"", donată de dl. Constantin Gruescu, din Ocna de Fier (jud. Caraș-Severin) și care cuprinde 126 de eșantioane reprezentând minereuri polimetalice, oxizi și hidroxizi de fier (hematit, magnetit, lemonit), precum și varietăți de cuarț (de la cuarțul de stâncă la macla japoneză). Cea mai recentă secție este intitulată ""Computere"" și ilustrează, în principal, evoluția acestora pe parcursul celei de-a doua jumătăți a secolului al XX-lea. în afara de secțiile care structurează circuitul expozițional permanent, patrimoniul muzeal include alte câteva colecții inedite, valorificate prin expoziții temporare, precum: mașini de calcul, mașini de scris, aparate de fotografiat, instrumente de meteorologie, precum și o platformă cu exponate din sfera arheologiei industriale.","Complexul muzeal cuprinde patru mari muzee: Muzeul de Istorie a Moldovei - arheologie, istorie; Muzeul Științei și Tehnicii; Muzeul Etnografic al Moldovei; Muzeul de Artă.  The museum complex comprises four large museums: History Museum of Moldavia, „Ște","Este adăpostit în Palatul Culturii, monument de arhitectură construit între 1907 - 1925, în stil neogotic. Edificiul este creația cea mai însemnată a arhitectului I.D. Berindei. Palatul suprapune, în parte, rămășițele vechilor curți domnești medievale, m",,http://www.muzeul-moldova.ro; http://www.palatulculturii.ro,Lăcrămioara Stratulat,"Arheologie medievală, Arheologie preistorică, Artă plastică românească, Etnografie, Istorie, Știință și tehnică",95079,47.157655,27.586761,Muzeu național,,412
Muzeul Științei și Tehnicii „Ștefan Procopiu”,Iași,Iași,Piața Ștefan cel Mare și Sfânt nr. 1,1955,"Muzeul Politehnic, asa cum era cunoscut publicului larg până la data de 3 august 1994, în semn de prețuire pentru valorile științei iesene, a adoptat titulatura de Muzeul Științei și Tehnicii “Ștefan Procopiu"", fiind situat la parterul Palatului Culturii, în aripa de est. Nucleul Muzeului s-a constituit încă din 1955, din inițiativa unui inimos grup de profesori și ingineri ieșeni, între care menționam pe acad. Cristofor Simionescu, ing. Marcel Itcovici și prof. univ. dr. Ioan Curievici, care s-au interesat îndeaproape de soarta Muzeului, căutând și depistând noi surse de îmbogățire a patrimoniului, de sporire a colecțiilor de mare valoare științifică și documentară. Prima secție a Muzeului a fost “Energetica"", deschisă la 1 martie 1961 și reorganizată în anul 1980. Ea prezintă astăzi publicului vizitator, principalele forme de energie utilizate de umanitate de-a lungul timpului și marchează prin panouri grafice și exponate originale contribuții de excepție ale unor personalități românești și mondiale la dezvoltarea domeniului energetic. Un moment important în evoluția Muzeului l-a constituit organizarea și deschiderea în februarie 1966 a secției “Inregistrarea și redarea sunetului"". Îmbogățirea colectiei, în anii ce au urmat, cu noi exponate valoroase, precum și interesul manifestat de vizitatori față de expozitia menționată sunt motivele care au condus la reorganizarea și extinderea acesteia într-un spațiu triplu, a cărui inaugurare a avut loc în 1972. Constituind o colecție unică în țară, secția de “Înregistrare și redare a sunetului"" prezintă în mod cronologic evoluția înregistrării și redării sunetului, de la cilindrul cu știfturi la banda magnetică. De-a lungul anilor, rod al eforturilor de investigație științifică depuse de colectivul de specialiști ai Muzeului, dar și de depistare și achiziționare de patrimoniu, s-au deschis noi secții muzeale precum: “Telecomunicații"" (1984), Muzeul Memorial ""Poni-Cernatescu"" (1991), “Mineralogie-Cristalografie"" (1997) și ""Computere"" (2004). Secția “Telecomunicatii"" prezintă publicului vizitator o serie de exponate originale ce ilustrează evoluția istorică a sistemelor de transmitere a informației la distanță, și este structurată tematic în patru sectoare: telegrafie, telefonie, radio, televiziune. Una din cele mai recente secții, “Mineralogie-Cristalografie"", adăpostește o inedită colecție de “flori de mina"", donată de dl. Constantin Gruescu, din Ocna de Fier (jud. Caraș-Severin) și care cuprinde 126 de eșantioane reprezentând minereuri polimetalice, oxizi și hidroxizi de fier (hematit, magnetit, lemonit), precum și varietăți de cuarț (de la cuarțul de stâncă la macla japoneză). Cea mai recentă secție este intitulată ""Computere"" și ilustrează, în principal, evoluția acestora pe parcursul celei de-a doua jumătăți a secolului al XX-lea. în afara de secțiile care structurează circuitul expozițional permanent, patrimoniul muzeal include alte câteva colecții inedite, valorificate prin expoziții temporare, precum: mașini de calcul, mașini de scris, aparate de fotografiat, instrumente de meteorologie, precum și o platformă cu exponate din sfera arheologiei industriale.",Muzeul are în prezent patru secții. Secția „Energetică” este o interesantă colecție de motoare și exponate legate de istoria electricității la Iași. Secția „Înregistrarea și redarea sunetului” oferă ocazia unei adevărate călătorii în istoria muzicii meca,,"Muzeul a fost înființat cu o singură secție, cea energetică. În 1966, se deschide secția „Înregistrarea și redarea sunetului”.",http://www.muzeul-moldova.ro; http://www.palatulculturii.ro,Lăcrămioara Stratulat,Știință și tehnică,95079,47.157279,27.58696,Muzeu național,,412
Centrul de Cultură „Palatele Brâncovenești de la Porțile Bucureștiului”,Mogoșoaia,Ilfov,Str. Valea Parcului nr. 1,2000,"Palatul brâncovenesc de la Mogoșoaia a fost atestat prima oară într-un act din 24 aprilie 1698. Construcția s-a finalizat la 20 septembrie 1702 (precizată în pisania prinsă deasupra ușii de intrare). Palatul a servit ca locuință lui Ștefan, fiul domnitorului Constantin Brâncoveanu. Așezat pe malul lacului, într-o curte dreptunghiulară împrejmuită de ziduri puternice, palatul are un plan regulat, rectangular, înălțându-se pe trei niveluri: subsol (pivnița), parter și etaj. Pivnița se remarcă prin dimensiuni și masivitate. Un pilon central împarte spațiul în patru încăperi, acoperite fiecare cu câte o cupolă pe pandantivi. Parterul cuprindea opt încăperi destinate slujitorilor domnului, iar etajul era rezervat în întregime familiei domnești. La etaj, pe fațada dinspre lac, se află cel mai rafinat element de arhitectură al palatului: splendida loggia de inspirație venețiană, cu trei arcade. Azi apare încadrată de două foișoare, adăugate în timpul renovării din perioada 1860 - 1880, remarcându-se prin coloanele lor cu capiteluri sculptate în piatră. Foișorul de pe latura de răsărit a palatului este de asemenea sprijinit pe opt coloane de piatră, având o balustradă bogat decorată. Bolta foișorului fusese acoperită cu pictură murală cu motive geometrice și vegetale, din care se mai păstrează câteva fragmente. La etaj - probabil în sala spătăriei - exista o mare frescă ce istorisea, în panouri de câte doi metri, călătoria domnitorului la Adrianopol, în 1703, și întâlnirea lui cu sultanul. Fragmente din această frescă se mai păstrau încă la jumătatea secolului al XIX-lea, dar majoritatea picturilor, stucaturilor și decorațiilor interioare au fost distruse de turci în 1775. Incrustațiile bogate reunesc elemente stilistice caracteristice atât renașterii cât și barocului. Domeniul Mogoșoaia cuprinde azi un parc englezesc, cu grădini în stil italian, o curte în care se afla palatul, cuhnia, ghețăria, turnul porții (ante 1702), casa de oaspeți (secolul al XVII-lea, refaceri în 1927 - 1936), iar în exteriorul ei serele N. Bibescu (1890), paraclisul Sf. Gheorghe (1688) și capela Gheorghe Bibescu (secolul al XIX-lea). Palatul adăpostește donația Liana și Dan Nasta, o colecție de artă comparată (circa 300 de piese), în sălile parterului și în anexe fiind prezentate anual circa 12 expoziții temporare, tematice sau de artă contemporană. În casa de oaspeți funcționează un centru de conferințe și rezidențe.","Palatul brâncovenesc de la Mogoșoaia a fost atestat prima oară într-un act din 24 aprilie 1698. Construcția s-a finalizat la 20 septembrie 1702 (precizată în pisania prinsă deasupra ușii de intrare). Palatul a servit ca locuință lui Ștefan, fiul domnitor",,"Organizat în Palatul construit, în 1702, de Constantin Brâncoveanu.",http://www.palatebrancovenesti.ro/ro/,Bogdan Popa,"Artă comparată, Etnografie, Artă contemporană",17472,44.52765,25.992644,Muzeu județean,,27
Ansamblul Muzeal și Monumental „Dr. Vasile Lucaciu”,Șișești,Maramureș,nr. 250,1968,"Ansamblul muzeal evocă personalitatea lui Vasile Lucaciu, supranumit Leul de la Șișești (1852 - 1922), cunoscut luptător pentru drepturile românilor din Transilvania. Vasile Lucaciu și familia sa au locuit aici aproape 30 ani. Ansamblul este alcătuit din: casa parohială (secolul al XVIII-lea), școala (1905), Biserica Sfintei Uniri a Tuturor Românilor (1890), cu mormântul lui Vasile Lucaciu, Locul de adunare, Izvorul Maicii Românilor de la Sisești, coloanele de piatră pentru statuile lui Traian și Decebal, altarul vechii biserici de lemn, biblioteca familiei Lucaciu.","Ansamblul muzeal evocă personalitatea lui Vasile Lucaciu, supranumit Leul de la Șișești (1852 - 1922). Cuprinde: casa parohială (sec. XVIII), școala (1905), Biserica Sfintei Uniri a Tuturor Românilor (1890), cu mormântul eroului, Locul de adunare, Izvoru",Casa în care Vasile Lucaciu și familia sa au locuit aproape 30 ani a fost construită în august 1837.,,http://www.maramuresmuzeu.ro/,Grigore Man,Memoriale - Personalități istorice,109103,47.631041,23.694119,Muzeu județean,,419
Casa Memorială „Gheorghe Pop de Băsești”,Băsești,Maramureș,nr. 124,1976,"Casa memorială este organizată în conacul care a aparținut marelui om politic, descendent al unei familii nobiliare. Casa a fost construită în anii 1885 - 1890, constituind timp de trei decenii un loc de întâlnire a multor personalități transilvănene: dr. Vasile Lucaciu, Vasile Goldiș, Ion Rațiu, Teodor Mihali și alții. Până în 1940 casa a fost locuită de fiica sa, Elena Pop Longin (1860 - 1940), cunoscută militantă feministă și de soțul ei, Francisc Hossu Longin. Naționalizată în 1948, a servit ca sediu CAP și magazie de cereale. În perioada 1970 - 1976 s-au executat lucrări de reabilitare, organizarea muzeului făcându-se în etape. Sunt valorificate expozițional piese originale cu caracter istoric și memorial aparținând lui Gheorghe Pop de Băsești (1835 - 1919), fruntaș al luptei pentru unirea Transilvaniei cu România, președintele Partidului Național Român și al Marii Adunări Naționale de la Alba Iulia (1 Decembrie 1918).","Sunt prezentate publicului piese originale cu caracter istoric și memorial aparținând lui Gheorghe Pop de Băsești (1835 - 1919), fruntaș al luptei pentru unirea Transilvaniei cu România, președintele Partidului Național Român și al Marii Adunări Național",,,http://www.maramuresmuzeu.ro/,Grigore Man,Memoriale - Personalități istorice,107207,47.48575,23.147529,Muzeu județean,,420
Muzeul Memorial „Petöfi Sándor”,Coltău,Maramureș,Castelul Teleky,1960,"Clădirea este monument istoric, datând de la mijlocul sec. al XVIII-lea, și cuprinde o expoziție documentară dedicată poetului romantic maghiar Petöfi Sándor (1823 - 1849). Muzeul a fost organizat în anii '50 ai secolului XX în castelul de la Coltău pentru a celebra prietenia poetului cu contele Teleki Sándor și zilele fericite de după căsătoria lui Petöfi cu Szendrey Julia, la 8 septembrie 1847, cu puternic ecou în opera marelui poet.","Clădirea este monument istoric, datând de la mijlocul sec. al XVIII-lea, și cuprinde o expoziție documentară dedicată poetului romantic maghiar Petöfi Sándor (1823 - 1849).  The building is a historic monument dating from the middle of the 18th century a",Clădirea este monument istoric.,"Organizat în anii '50 în castelul de la Coltău pentru a celebra prietenia poetului cu contele Teleki Sándor și zilele fericite de după căsătoria lui Petöfi cu Szendrey Julia la 8 septembrie 1847, cu puternic ecou în opera marelui poet.",http://www.muzeumm.baiamare.rdsnet.ro/petofi.htm; http://www.maramuresmuzeu.ro,Grigore Man,Memoriale - Istoria literaturii,108838,47.599776,23.522826,Muzeu județean,,421
Muzeul de Etnografie și Artă Populară din Baia Mare,Baia Mare,Maramureș,Str. Dealul Florilor nr. 1,1965,"Muzeul funcționează în actuala clădire din 1971. Expoziția pavilionară de etnografie și artă populară are trei părți distincte, în care sunt prezentate: ocupațiile tradiționale principale și secundare, meșteșuguri și instalații tehnice, obiecte aparținând artei populare, ceramică, mobilier, obiecte de uz casnic, elemente de arhitectură populară, port și textile de interior, din cele patru zone etnografice ale județului (Chioar, Codru, Lăpuș, Maramureș).  Muzeul Satului, inaugurat în 1984 în peisajul pitoresc de pe Dealul Florilor (6 ha), cuprinde monumente din cele patru zone etnografice ale județului Maramureș grupate în jurul Bisericii de lemn adusă din Chechiș.","În secția pavilionară: unelte, podoabe, ceramică, scoarțe, covoare, cergi, piese de port, icoane. Secția în aer liber, înființată în 1975, are o suprafață de 12 ha și prezintă 50 de monumente de arhitectură populară: case, anexe gospodărești, instalații,",,Muzeul funcționează în actuala clădire din 1971.,http://www.etnografie-maramures.ro/,Gheorghe Robescu,Etnografie - Arhitectură populară,106327,47.66622,23.576417,Muzeu județean,MM-II-a-A-04433,423
Muzeul Județean de Artă „Centrul Artistic Baia Mare”,Baia Mare,Maramureș,Str. 1 Mai nr. 8,1896," Noua expoziție permanentă intitulată «Centrul Artistic Baia Mare. Repere europene între tradiții și inovații» prezintă aproape 400 de lucrări realizate exclusiv de artiști care au lucrat și creat la Baia Mare din 1896 și până în prezent. Pe parcursul existenței mișcării artistice la Baia Mare s-a consolidat una dintre cele circa 40 de reputate „colonii” europene de la cumpăna secolelor XIX-XX, fiind printre puținele în care viața artistică s-a desfășurat neîntrerupt timp de mai bine de un secol, aici lucrând peste 3.500 de artiști plastici din țară și din spațiul central și est-european. Clădirea în care funcționează a fost ridicată în 1748, fiind modernizată în decursul vremii. De la 195 de piese înregistrate în anul 1960, când a fost înființată Colecția de artă românească modernă și contemporană în cadrul Muzeului Regional Maramureș, în prezent s-a ajuns ca, prin achiziții, transferuri și donații, în patrimoniul muzeului să existe peste 3.900 de lucrări de artă, în ultimii patru ani dezvoltarea colecțiilor înregistrând aproape 500 de noi piese.","Muzeul funcționează în actuala clădire din 1954 și valorifică expozițional colecții de pictură, grafică, sculptură și artă decorativă (peste 3.300 piese), cu opere reprezentative pentru Centrul artistic Baia Mare, întemeiat în 1896. Expoziția permanentă",,Muzeul funcționează în actuala clădire din 1954.,http://muzeuldeartabaiamare.wordpress.com,Tiberiu Alexa,Artă plastică românească,106327,47.658073,23.583724,Muzeu județean,MM-II-m-A-04434,424
Muzeul de Mineralogie din Baia Mare,Baia Mare,Maramureș,B-dul Traian nr. 8,1989,"Muzeul de Mineralogie Baia Mare găzduiește cea mai valoroasă colecție mineralogică regională din Europa. În 1968, din inițiativa viitorului director fondator, prof. Victor Gorduza, se constituia colecția de minerale, iar în 1976 s-a înființat Secția de științele naturii, cu profil de mineralogie, în cadrul Muzeului Județean Maramureș. În 1989 se deschide expoziția de bază, în noul sediu din B-dul Traian nr. 8. Muzeul de Mineralogie Maramureș se înființează ca instituție distinctă în 1992. Muzeul este adăpostit într-o construcție contemporană, finalizată în 1986 și deține circa 19.000 de eșantioane din zăcămintele de metale neferoase din zona Munților Oaș-Gutâi-Țibleș. Sunt expuse aproximativ 1000 de piese. Expoziția de bază se compune astfel: la parter este organizată partea științifică, cuprinzând trei secțiuni (petrografie, mineralogie, zăcăminte), la etaj sunt expuse cele mai rare și deosebite eșantioane, cunoscute sub denumirea de ”flori de mină”. Anul 2011 a marcat darea în folosință a noului corp de clădire, cu o importantă și multiplă funcțiune culturală, ce cuprinde săli pentru organizarea de expoziții temporare, o sală de conferințe, atelierul educațional și biblioteca, arhiva și spații de depozitare și conservare.","Colecție de minerale (circa 16.000 eșantioane, din care sunt expuse 980) din zăcămintele de metale neferoase din zona Munților Oaș-Gutâi-Țibleș, inclusiv flori de mină rare.  The museum holds about 16,000 samples of non-ferrous metals ores in the Oaș-Gut","Muzeul este adăpostit într-o construcție contemporană, finalizată în 1986.","În 1968 începe constituirea colecției de minerale, iar în 1976 se înființează secția de științele naturii cu profil de mineralogie în cadrul Muzeului Județean Maramureș. În 1989 se deschde expoziția de bază în noul sediu din B-dul Traian nr.8. Muzeul de",http://www.muzeuminbm.ro,Ioan Bob,Științele naturii - Mineralogie,106327,47.650434,23.567118,Muzeu județean,,427
Planetariul din Baia Mare,Baia Mare,Maramureș,Str. George Coșbuc nr. 16,1969,"Înființat în 1969 ca primul planetariu public din România și unicul din Transilvania (până în prezent), Planetariul Baia Mare – în urma finalizării Observatorului Astronomic, a devenit începând cu 1971 un punct nodal de citire și înregistrare a datelor astronomice, instituțional primind numele de Complexul Astronomic Baia Mare, din motive administrative ajungând sub coordonarea Muzeului Județean Maramureș, iar după reorganizarea acestui complex muzeal, din 2006 funcționează ca și secție de specialitate în cadrul Muzeului de Mineralogie Baia Mare. Parte a unui ansamblu muzeal de excepție în România – MUZEUL DE MINERALOGIE BAIA MARE – Planetariul și Observatorul astronomic oferă spectacole memorabile de planetariu în cupolă (ghidaje pe cerul artificial proiectat cu un dispozitiv optico-mecanic în care sunt relevate atât dimensiunea științifică, cât și cea culturală, chiar și în identificare populară românească a constelațiilor și a anumitor fenomene cosmice), observații astronomice gratuite a unor fenomene sau clase de obiecte din sistemul solar (planete, sateliți naturali etc.) ori aparținând universului de adâncime (galaxii, clustere etc.), organizează expoziții de bază (”Universul în mileniul III”, ”Sistemul Solar”, ”Mișcări pe bolta cerească”) și temporare (”Telescopul Hubble”, ”Instrumente și tehnici de navigație”, ”Astronomicus” etc.), găzduind de asemenea o colecție filatelică foarte valoroasă, cu peste 650 de piese (cu adăugare în 2012 a încă 2000 de piese) dedicată istoriei astronomiei și eforturilor de cunoaștere și cucerire a spațiului cosmic. Planetariul Baia Mare este o instituție muzeală și un obiectiv cultural turistic important din Maramureș, cu o rată anuală de vizitare ce depășește 20.000 de vizitatori din țară și din afara țării. În 2012 Planetariul Baia Mare derulează două proiecte importante, unul vizând recuperarea și promovarea viziunii tradiționale românești asupra cerului (astronomie populară), celălalt urmărind modernizarea facilităților, tehnologiei și serviciilor oferite publicului larg. Locația în google.maps este: http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Baia%20Mare&sll=37.0625,-95.677068&sspn=34.808514,79.013672&ie=UTF8&t=h&hnear=Baia%20Mare,%20Romania&ll=47.657121,23.564172&spn=0.010117,0.021458&z=15&iwloc=A&source=embed","În cadrul Planetariului există un observator astronomonic ce dispune de lunete și telescoape cu ajutorul cărora se explorează spațiul cosmic, un aparat complex de poiecție prin care se realizează o imagine reală a cerului, precum și un proiector pentru e",,,http://planetariubm.wordpress.com/,Ioan Bob,Științele naturii - astronomie,106327,47.657787,23.56358,Muzeu județean,,684
Casa Memorială a poetului Ion Șiugariu,Băița,Maramureș,,1983,"Sunt expuse piese originale din casa părintească, fotografii, documente, manuscrise, cărți aparținând poetului - erou Ion Șiugariu (1916 - 1945), reprezentantul de frunte al generației de intelectuali din preajma războiului, poet și gazetar de mare talent. În prima încăpere ilustrează aspecte din viața și activitatea autorului. A doua încăpere reconstituie interiorul unei case tradiționale de mineri din Băița.","Piese originale din casa părintească, fotografii, documente, manuscrise, cărți aparținând poetului - erou Ion Șiugariu (1916 - 1945), reprezentantul de frunte al generației de intelectuali din preajma războiului, poet și gazetar de mare talent.  The exhi",,,http://www.maramuresmuzeu.ro/,Grigore Man,Memoriale - Istoria literaturii,106489,,,Muzeu județean,,685
